palabra,cantidad,longitud
de,2147,2
la,1476,2
que,1437,3
el,1314,2
y,1078,1
en,1034,2
los,684,3
un,671,2
a,667,1
no,528,2
una,445,3
del,415,3
las,390,3
lo,374,2
con,350,3
se,333,2
es,284,2
me,278,2
su,242,2
por,231,3
al,205,2
para,181,4
pero,172,4
había,168,5
o,167,1
era,166,3
le,162,2
más,132,3
como,130,4
yo,124,2
esa,122,3
hombre,119,6
mi,110,2
sin,102,3
ese,99,3
ya,96,2
si,78,2
fue,77,3
vez,74,3
dos,74,3
él,73,2
después,71,7
hay,71,3
dijo,69,4
hombres,69,7
noche,67,5
otro,63,4
vi,63,2
sus,61,3
también,60,7
todos,59,5
casa,57,4
porque,57,6
fin,57,3
ha,55,2
cuando,55,6
años,55,4
son,53,3
ser,52,3
tiempo,52,6
palabras,52,8
dios,51,4
todo,51,4
he,50,2
historia,49,8
tierra,47,6
ni,46,2
menos,45,5
mundo,44,5
antes,44,5
muy,44,3
día,44,3
entre,44,5
laberinto,44,9
estaba,42,6
sobre,42,5
otra,41,4
otros,41,5
así,41,3
hasta,41,5
ojos,40,4
eran,40,4
ahora,40,5
quien,40,5
ciudad,40,6
mis,40,3
luego,39,5
nos,39,3
nadie,38,5
está,38,4
tal,37,3
muerte,37,6
nombre,36,6
aquel,36,5
puede,36,5
habían,35,6
casi,35,4
días,35,4
sé,34,2
otálora,33,7
quizá,33,5
uno,33,3
cosas,32,5
qué,31,3
hecho,31,5
desde,31,5
esas,31,4
éste,30,4
hacia,30,5
donde,30,5
cara,30,4
damián,29,6
muerto,29,6
unas,29,4
solo,29,4
alguna,29,6
veces,29,5
sueño,29,5
tan,29,3
universo,28,8
muchos,28,6
algún,28,5
todas,28,5
muchas,28,6
sino,28,4
destino,28,7
primera,27,7
beatriz,27,7
zahir,27,5
juan,27,4
otras,27,5
bandeira,27,8
emma,27,4
entonces,26,8
mujer,26,5
rey,26,3
lugar,26,5
tarde,25,5
algo,25,4
vida,25,4
cada,25,4
sólo,25,4
aleph,25,5
aureliano,25,9
carlos,25,6
acaso,24,5
sido,24,4
agua,24,4
poco,24,4
último,23,6
mismo,23,5
nada,22,4
siempre,22,7
contra,22,6
visto,22,5
noches,22,6
principio,22,9
murió,22,5
arena,22,5
pudo,22,4
averroes,22,8
luz,21,3
argentino,21,9
temor,21,5
toda,21,4
pensé,21,5
hizo,21,4
piedra,21,6
tres,21,4
calle,21,5
infinito,21,8
mar,21,3
fuera,20,5
poema,20,5
siglo,20,5
fueron,20,6
sabía,20,5
esta,20,4
esos,20,4
obra,20,4
cuatro,19,6
cosa,19,4
haber,19,5
hechos,19,6
hace,19,4
patio,19,5
bajo,19,4
sí,19,2
cuyo,19,4
voz,19,3
abenjacán,19,9
sangre,18,6
libro,18,5
aunque,18,6
recuerdo,18,8
podía,18,5
tesoro,18,6
soy,18,3
tenía,18,5
moneda,18,6
mí,18,2
sola,18,4
pareció,18,7
ella,18,4
espejo,18,6
dio,18,3
acto,17,4
inmortales,17,10
te,17,2
modo,17,4
dunraven,17,8
unwin,17,5
forma,17,5
sol,17,3
bien,17,4
decir,17,5
sea,17,3
suerte,17,6
este,17,4
abulcásim,17,9
recordó,17,7
embargo,17,7
alguien,16,7
pedro,16,5
memoria,16,7
siglos,16,6
cruz,16,4
iba,16,3
señor,16,5
unos,16,4
símbolo,16,7
palabra,16,7
tigre,16,5
río,16,3
da,15,2
pasado,15,6
zaid,15,4
primer,15,6
sentí,15,5
mañana,15,6
pensó,15,5
hubiera,15,7
primero,15,7
imagen,15,6
panonia,15,7
estas,15,5
parece,14,6
ante,14,4
perro,14,5
bojarí,14,6
boca,14,4
mejor,14,5
sombra,14,6
alba,14,4
anterior,14,8
loewenthal,14,10
secreto,14,7
the,14,3
nueve,14,5
quienes,14,7
nunca,14,5
vano,14,4
suelo,13,5
puerta,13,6
ésta,13,4
oscura,13,6
villari,13,7
escritura,13,9
siquiera,13,8
les,13,3
ocurrió,13,7
pie,13,3
propósito,13,9
negro,13,5
desierto,13,8
manos,13,5
mano,13,4
segundo,13,7
ellos,13,5
esclavo,13,7
gente,13,5
dije,13,4
sótano,13,6
padre,13,5
masoller,13,8
tiene,13,5
dice,13,4
hora,13,4
relato,13,6
pues,13,4
ello,13,4
apenas,12,6
saber,12,5
tigres,12,6
montaña,12,7
orden,12,5
morir,12,5
cómo,12,4
alto,12,4
habló,12,5
estaban,12,7
circunstancias,12,14
eso,12,3
cuarto,12,6
fondo,12,5
entender,12,8
ahí,12,3
batalla,12,7
tales,12,5
última,12,6
guerra,12,6
pensar,12,6
horas,12,5
dicho,12,5
cárcel,12,6
instante,12,8
vio,12,3
escribió,12,8
figura,12,6
libros,12,6
han,12,3
caras,11,5
fui,11,3
fe,11,2
dioses,11,6
mil,11,3
nombres,11,7
veinte,11,6
barba,11,5
tuvo,11,4
será,11,4
fuego,11,5
manera,11,6
cualquier,11,9
daneri,11,6
ninguna,11,7
pasó,11,4
ver,11,3
verdad,11,6
comprendí,11,9
cielo,11,5
formas,11,6
creo,11,4
nuestro,11,7
pelo,11,4
volver,10,6
pecho,10,5
cobarde,10,7
parecía,10,7
carne,10,5
sentencia,10,9
loco,10,4
caballo,10,7
argos,10,5
feliz,10,5
león,10,4
cuya,10,4
puedo,10,5
jamás,10,5
lejos,10,5
letras,10,6
vemos,10,5
coronel,10,7
país,10,4
biblioteca,10,10
sabe,10,4
agregó,10,6
sabor,10,5
muros,10,5
comprendió,10,10
viejo,10,5
glencairn,10,9
allaby,10,6
importa,10,7
dormir,10,6
color,10,5
pobre,10,5
duda,10,4
gloria,10,6
nuevo,10,5
dado,10,4
razones,10,7
centro,10,6
rasgos,10,6
teodelina,10,9
mientras,10,8
infinita,10,8
cuerpo,10,6
e,10,1
carta,10,5
trabajo,10,7
juez,10,4
felicidad,10,9
espada,10,6
círculo,10,7
número,10,6
dejó,10,4
azevedo,10,7
parte,10,5
sería,9,5
farach,9,6
seis,9,4
puertas,9,7
parecían,9,8
aún,9,3
páginas,9,7
ve,9,2
inglesa,9,7
valiente,9,8
tampoco,9,7
villar,9,6
quién,9,5
aun,9,3
volvió,9,6
misma,9,5
hablar,9,6
homero,9,6
cabo,9,4
sintió,9,6
zunz,9,4
pájaros,9,7
inmortal,9,8
versión,9,7
razón,9,5
mayor,9,5
además,9,6
sur,9,3
luna,9,4
demás,9,5
treinta,9,7
pronto,9,6
haya,9,4
divinidad,9,9
rueda,9,5
meses,9,5
hubo,9,4
justicia,9,8
soledad,9,7
habla,9,5
algunos,9,7
buenos,9,6
rojo,9,4
perdido,9,7
rumor,9,5
aires,9,5
amor,8,4
catorce,8,7
singular,8,8
oyó,8,3
i,8,1
droctulft,8,9
superior,8,8
atroz,8,5
detrás,8,6
escalera,8,8
mucho,8,5
oro,8,3
niño,8,4
derrota,8,7
antiguo,8,7
imágenes,8,8
telaraña,8,8
asterión,8,8
grande,8,6
llamó,8,5
igual,8,5
arte,8,4
desiertos,8,9
breve,8,5
horror,8,6
estar,8,5
momento,8,7
segunda,8,7
consideré,8,9
hacía,8,5
vieron,8,6
escrito,8,7
oscuridad,8,9
salir,8,5
debe,8,4
recuerda,8,8
abajo,8,5
porvenir,8,8
ignoro,8,6
personas,8,8
cajón,8,5
increíble,8,9
durante,8,7
miedo,8,5
miró,8,4
leyó,8,4
demasiado,8,9
fábrica,8,7
fama,8,4
papel,8,5
imaginar,8,8
realidad,8,8
negra,8,5
doctor,8,6
nosotros,8,8
tabares,8,7
repitió,8,7
hierro,8,6
ibn,8,3
están,8,5
creí,8,4
comprender,8,10
buscar,8,6
pueden,8,6
preguntó,8,8
lenguaje,8,8
recordar,8,8
pasos,8,5
iguales,8,7
david,7,5
fácil,7,5
dicen,7,5
monedas,7,7
histriones,7,10
jerusalem,7,9
verso,7,5
quería,7,6
taylor,7,6
informe,7,7
gritó,7,5
esto,7,4
repetir,7,7
repetí,7,6
cerca,7,5
jardín,7,6
soñé,7,4
dieron,7,6
esté,7,4
julio,7,5
año,7,3
poesía,7,6
casas,7,5
tanto,7,5
piedad,7,6
rostro,7,6
rosas,7,5
calles,7,6
primeros,7,8
inglaterra,7,10
terrible,7,8
dinero,7,6
pensamiento,7,11
dijeron,7,7
referir,7,7
secreta,7,7
capítulo,7,8
mesa,7,4
zaguán,7,6
esperanza,7,9
común,7,5
madre,7,5
octubre,7,7
lado,7,4
tiniebla,7,8
letra,7,5
imposible,7,9
ilíada,7,6
hacer,7,5
alejandro,7,9
muro,7,4
grandes,7,7
ciego,7,5
ningún,7,6
doctrina,7,8
galerías,7,8
leguas,7,6
mío,7,3
estoy,7,5
crepúsculo,7,10
fuerte,7,6
toro,7,4
griego,7,6
hijo,7,4
tomar,7,5
central,7,7
aquí,7,4
impresión,7,9
abuela,7,6
alta,7,4
trampa,7,6
infinitos,7,9
sueños,7,6
mal,7,3
ventana,7,7
plan,6,4
consta,6,6
daba,6,4
pocos,6,5
minutos,6,7
decía,6,5
trogloditas,6,11
guerras,6,7
capaz,6,5
piel,6,4
diversas,6,8
culpa,6,5
actos,6,5
desdén,6,6
olvidar,6,7
camino,6,6
estrellas,6,9
pluma,6,5
campo,6,5
don,6,3
red,6,3
mujeres,6,7
partes,6,6
antiguas,6,8
fuerza,6,6
monótonos,6,9
literatura,6,10
fantástico,6,10
llegar,6,6
circular,6,8
especie,6,7
tomó,6,4
historias,6,9
digamos,6,7
pregunté,6,8
india,6,5
londres,6,7
visir,6,5
íntimo,6,6
baja,6,4
orientales,6,10
referido,6,8
ríos,6,4
supo,6,4
verdadera,6,9
revólver,6,8
soberbia,6,8
vasta,6,5
podría,6,6
victoria,6,8
odisea,6,6
viterbo,6,7
almacén,6,7
lluvia,6,6
canto,6,5
pude,6,4
conjetura,6,9
diecinueve,6,10
desorden,6,8
largos,6,6
desconocido,6,11
suárez,6,6
caña,6,4
idioma,6,6
tienen,6,6
generaciones,6,12
salvo,6,5
dar,6,3
alguno,6,6
cuarenta,6,8
fiebre,6,6
cámara,6,6
éstos,6,5
quiso,6,5
magia,6,5
quiere,6,6
garay,6,5
copa,6,4
norte,6,5
aire,6,4
quise,6,5
manuscrito,6,10
pasaje,6,6
fines,6,5
dictamen,6,8
texto,6,5
noticia,6,7
rigor,6,5
autor,6,5
ejercicio,6,9
jefe,6,4
complejo,6,8
zur,6,3
aquellos,6,8
olvido,6,6
problema,6,8
of,6,2
quiero,6,6
borges,6,6
ocurrido,6,8
caso,6,4
tu,6,2
junio,6,5
dolor,6,5
rosa,6,4
pozo,6,4
despertar,6,9
según,6,5
empresa,6,7
sed,6,3
menor,6,5
nuestros,6,8
viajero,6,7
peligro,6,7
venía,6,5
llanura,6,7
versos,6,6
inferior,6,8
considerable,6,12
recordé,6,7
imperio,6,7
edificio,6,8
colores,6,7
puntos,6,6
poeta,6,5
celda,6,5
cinco,6,5
aguas,6,5
vértigo,5,7
inexplicable,5,12
isidoro,5,7
tuve,5,4
altos,5,5
fatiga,5,6
líneas,5,6
entiendo,5,8
falso,5,5
temí,5,4
marzo,5,5
agonía,5,6
creyó,5,5
hablaba,5,7
